Unnamed: 0,whole_pipe_index,Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),Pressure (Pa),X (m),Y (m),Z (m),average_velocity,u,v,w,p,x,y,z
0,0,3.91031718254089,5.67949151992798,0,-86.7742616447943,0.175153880357735,0.285187897054404,0,10,3.91031718254089,5.67949151992798,0,-86.7742616447943,0.175153880357735,0.285187897054404,0
1,1,5.97907257080078,8.62938213348389,0,-86.50677040227,0.176423061148614,0.28444254645555,0,10,5.97907257080078,8.62938213348389,0,-86.50677040227,0.176423061148614,0.28444254645555,0
2,2,0.98925906419754,1.51827394962311,0,-86.8909329108456,0.173864770650313,0.285954836706558,0,10,0.98925906419754,1.51827394962311,0,-86.8909329108456,0.173864770650313,0.285954836706558,0
3,3,4.16410636901855,6.03785228729248,0,-88.035363631797,0.174133931205367,0.283473516771156,0,10,4.16410636901855,6.03785228729248,0,-88.035363631797,0.174133931205367,0.283473516771156,0
4,4,6.16902112960815,8.85950565338135,0,-87.8036685939253,0.175359204732131,0.282747990326931,0,10,6.16902112960815,8.85950565338135,0,-87.8036685939253,0.175359204732131,0.282747990326931,0
5,5,7.26165294647217,10.3381023406982,0,-85.3041603026776,0.178431882986543,0.284592130004738,0,10,7.26165294647217,10.3381023406982,0,-85.3041603026776,0.178431882986543,0.284592130004738,0
6,6,7.46141052246094,10.5522727966309,0,-86.6469016521087,0.177319976498619,0.282782719030309,0,10,7.46141052246094,10.5522727966309,0,-86.6469016521087,0.177319976498619,0.282782719030309,0
7,7,8.14426422119141,11.4924345016479,0,-83.6909140334409,0.18084184268812,0.285157234644915,0,10,8.14426422119141,11.4924345016479,0,-83.6909140334409,0.18084184268812,0.285157234644915,0
8,8,1.21933400630951,1.87302362918854,0,-88.1471832579063,0.17284482157669,0.28424045644767,0,10,1.21933400630951,1.87302362918854,0,-88.1471832579063,0.17284482157669,0.28424045644767,0
9,9,4.42770719528198,6.40935134887695,0,-89.5532838588812,0.173113982138394,0.281759136523445,0,10,4.42770719528198,6.40935134887695,0,-89.5532838588812,0.173113982138394,0.281759136523445,0
10,10,6.36363506317139,9.10801315307617,0,-89.4626237690967,0.174261931417527,0.280996257201723,0,10,6.36363506317139,9.10801315307617,0,-89.4626237690967,0.174261931417527,0.280996257201723,0
11,11,6.56105852127075,9.36702060699463,0,-91.1485817586598,0.173226476430948,0.279346001337053,0,10,6.56105852127075,9.36702060699463,0,-91.1485817586598,0.173226476430948,0.279346001337053,0
12,12,7.50202703475952,10.5740118026733,0,-88.4205743389142,0.175930342265827,0.280995258270595,0,10,7.50202703475952,10.5740118026733,0,-88.4205743389142,0.175930342265827,0.280995258270595,0
13,13,8.42316150665283,11.7035531997681,0,-87.1106889286485,0.177941720068095,0.280992713242929,0,10,8.42316150665283,11.7035531997681,0,-87.1106889286485,0.177941720068095,0.280992713242929,0
14,14,8.6402063369751,12.0220565795898,0,-85.0702195516032,0.180052640475425,0.282582282353448,0,10,8.6402063369751,12.0220565795898,0,-85.0702195516032,0.180052640475425,0.282582282353448,0
15,15,9.73280715942383,13.5315456390381,0,-71.1706985042084,0.19526701340399,0.28601247998058,0,10,9.73280715942383,13.5315456390381,0,-71.1706985042084,0.19526701340399,0.28601247998058,0
16,16,9.76905918121338,13.5075740814209,0,-73.9397262672441,0.1923381575781,0.28483349566857,0,10,9.76905918121338,13.5075740814209,0,-73.9397262672441,0.1923381575781,0.28483349566857,0
17,17,9.69755458831787,13.4031190872192,0,-76.6547567909186,0.189419710856421,0.284406274956306,0,10,9.69755458831787,13.4031190872192,0,-76.6547567909186,0.189419710856421,0.284406274956306,0
18,18,9.52066993713379,13.1705160140991,0,-79.6581193756793,0.186176810941397,0.283856191394432,0,10,9.52066993713379,13.1705160140991,0,-79.6581193756793,0.186176810941397,0.283856191394432,0
19,19,9.13652515411377,12.6890354156494,0,-82.4572225582286,0.183071425799886,0.283561347653664,0,10,9.13652515411377,12.6890354156494,0,-82.4572225582286,0.183071425799886,0.283561347653664,0
20,20,9.94033527374268,13.5225067138672,0,-68.8790305493842,0.19787724283176,0.282575870799357,0,10,9.94033527374268,13.5225067138672,0,-68.8790305493842,0.19787724283176,0.282575870799357,0
21,21,1.46844732761383,2.26485848426819,0,-89.6273994037118,0.171824872509717,0.282526076199959,0,10,1.46844732761383,2.26485848426819,0,-89.6273994037118,0.171824872509717,0.282526076199959,0
22,22,4.7054328918457,6.81608724594116,0,-91.2790109869347,0.172094033084262,0.28004475618932,0,10,4.7054328918457,6.81608724594116,0,-91.2790109869347,0.172094033084262,0.28004475618932,0
23,23,7.7421555519104,10.8551979064941,0,-90.1915030979956,0.17486648625942,0.279179743191832,0,10,7.7421555519104,10.8551979064941,0,-90.1915030979956,0.17486648625942,0.279179743191832,0
24,24,6.85230731964111,9.75329208374023,0,-93.341425687109,0.172223350259822,0.277593232127484,0,10,6.85230731964111,9.75329208374023,0,-93.341425687109,0.172223350259822,0.277593232127484,0
25,25,7.68213033676147,10.7822332382202,0,-92.0263535230339,0.173627072195518,0.27783896140558,0,10,7.68213033676147,10.7822332382202,0,-92.0263535230339,0.173627072195518,0.27783896140558,0
26,26,9.10424327850342,12.4921045303345,0,-86.5115682900581,0.179351574497396,0.280059412835557,0,10,9.10424327850342,12.4921045303345,0,-86.5115682900581,0.179351574497396,0.280059412835557,0
27,27,8.80241584777832,12.1065921783447,0,-88.8648544089578,0.177155873018079,0.278819831957052,0,10,8.80241584777832,12.1065921783447,0,-88.8648544089578,0.177155873018079,0.278819831957052,0
28,28,9.48934078216553,12.9593830108643,0,-84.3915931801471,0.181700750031116,0.280403797534345,0,10,9.48934078216553,12.9593830108643,0,-84.3915931801471,0.181700750031116,0.280403797534345,0
29,29,9.96297264099121,13.5570316314697,0,-72.1849059436415,0.194351522703231,0.282363001103706,0,10,9.96297264099121,13.5570316314697,0,-72.1849059436415,0.194351522703231,0.282363001103706,0
30,30,9.98538684844971,13.5503597259521,0,-75.4474700249256,0.19108483129429,0.281535340555732,0,10,9.98538684844971,13.5503597259521,0,-75.4474700249256,0.19108483129429,0.281535340555732,0
31,31,9.94083213806152,13.4826688766479,0,-78.675105940159,0.187817584961586,0.280973489725338,0,10,9.94083213806152,13.4826688766479,0,-78.675105940159,0.187817584961586,0.280973489725338,0
32,32,9.78500843048096,13.3042125701904,0,-81.7133286293944,0.184641276674411,0.280671587129264,0,10,9.78500843048096,13.3042125701904,0,-81.7133286293944,0.184641276674411,0.280671587129264,0
33,33,10.1316623687744,13.5136680603027,0,-70.3479308473196,0.196411747288358,0.279224576135025,0,10,10.1316623687744,13.5136680603027,0,-70.3479308473196,0.196411747288358,0.279224576135025,0
34,34,10.1264371871948,13.4102001190186,0,-67.0228350326658,0.199956194004095,0.278154653525542,0,10,10.1264371871948,13.4102001190186,0,-67.0228350326658,0.199956194004095,0.278154653525542,0
35,35,1.72655940055847,2.69301819801331,0,-91.3780443068111,0.170804923439419,0.280811695946659,0,10,1.72655940055847,2.69301819801331,0,-91.3780443068111,0.170804923439419,0.280811695946659,0
36,36,4.99420976638794,7.23171234130859,0,-93.3846456477159,0.171074083991149,0.278330376005669,0,10,4.99420976638794,7.23171234130859,0,-93.3846456477159,0.171074083991149,0.278330376005669,0
37,37,7.13908433914185,10.1364412307739,0,-95.7598916826971,0.171281058918934,0.275925408475263,0,10,7.13908433914185,10.1364412307739,0,-95.7598916826971,0.171281058918934,0.275925408475263,0
38,38,8.75973415374756,12.0273866653442,0,-91.5306516750857,0.175350776570935,0.277004518797139,0,10,8.75973415374756,12.0273866653442,0,-91.5306516750857,0.175350776570935,0.277004518797139,0
39,39,8.35568618774414,11.5727367401123,0,-94.1197776341433,0.17331834481852,0.275840562302442,0,10,8.35568618774414,11.5727367401123,0,-94.1197776341433,0.17331834481852,0.275840562302442,0
40,40,9.43428325653076,12.767879486084,0,-90.0719889662583,0.17729197648821,0.276570853610065,0,10,9.43428325653076,12.767879486084,0,-90.0719889662583,0.17729197648821,0.276570853610065,0
41,41,9.68693447113037,13.0621738433838,0,-87.3593134523687,0.179779463038509,0.277530093582491,0,10,9.68693447113037,13.0621738433838,0,-87.3593134523687,0.179779463038509,0.277530093582491,0
42,42,10.0196962356567,13.4083614349365,0,-84.201596111367,0.182982909166788,0.277590851262233,0,10,10.0196962356567,13.4083614349365,0,-84.201596111367,0.182982909166788,0.277590851262233,0
43,43,10.2028026580811,13.5630826950073,0,-73.4040210431678,0.193325879655996,0.278441791471461,0,10,10.2028026580811,13.5630826950073,0,-73.4040210431678,0.193325879655996,0.278441791471461,0
44,44,10.2337779998779,13.591757774353,0,-77.1209898690357,0.189752240683184,0.277878231907694,0,10,10.2337779998779,13.591757774353,0,-77.1209898690357,0.189752240683184,0.277878231907694,0
45,45,10.1932411193848,13.5597791671753,0,-80.8055237792559,0.18633173360317,0.277549111910374,0,10,10.1932411193848,13.5597791671753,0,-80.8055237792559,0.18633173360317,0.277549111910374,0
46,46,10.2393217086792,13.2385110855103,0,-64.475772636419,0.202485636139029,0.273812669232144,0,10,10.2393217086792,13.2385110855103,0,-64.475772636419,0.202485636139029,0.273812669232144,0
47,47,10.3243188858032,13.4239807128906,0,-69.9249468948434,0.196945721795425,0.275035157145511,0,10,10.3243188858032,13.4239807128906,0,-69.9249468948434,0.196945721795425,0.275035157145511,0
48,48,2.0060498714447,3.14139533042908,0,-93.4718099815558,0.169784974362471,0.279097315682183,0,10,2.0060498714447,3.14139533042908,0,-93.4718099815558,0.169784974362471,0.279097315682183,0
49,49,5.30260133743286,7.68641519546509,0,-95.837960795733,0.170054134914201,0.276615995741193,0,10,5.30260133743286,7.68641519546509,0,-95.837960795733,0.170054134914201,0.276615995741193,0
50,50,8.24648666381836,11.4643068313599,0,-96.6720604013497,0.171833310099811,0.274464954682314,0,10,8.24648666381836,11.4643068313599,0,-96.6720604013497,0.171833310099811,0.274464954682314,0
51,51,7.4054536819458,10.4796524047852,0,-98.5729485192839,0.170224410061439,0.274196853623729,0,10,7.4054536819458,10.4796524047852,0,-98.5729485192839,0.170224410061439,0.274196853623729,0
52,52,9.48473072052002,12.7805109024048,0,-92.8844737160467,0.175668642156211,0.274798295538292,0,10,9.48473072052002,12.7805109024048,0,-92.8844737160467,0.175668642156211,0.274798295538292,0
53,53,9.30772876739502,12.5843019485474,0,-96.100382542993,0.173605975264599,0.273418449029043,0,10,9.30772876739502,12.5843019485474,0,-96.100382542993,0.173605975264599,0.273418449029043,0
54,54,9.98948383331299,13.2758741378784,0,-90.2985313624934,0.178277028413831,0.274533764379044,0,10,9.98948383331299,13.2758741378784,0,-90.2985313624934,0.178277028413831,0.274533764379044,0
55,55,10.2531623840332,13.5121307373047,0,-86.9753361774668,0.181299088430644,0.274658902461418,0,10,10.2531623840332,13.5121307373047,0,-86.9753361774668,0.181299088430644,0.274658902461418,0
56,56,10.4253377914429,13.6255493164062,0,-83.1869422223794,0.184667960098707,0.274443496052552,0,10,10.4253377914429,13.6255493164062,0,-83.1869422223794,0.184667960098707,0.274443496052552,0
57,57,10.4266395568848,13.5437097549438,0,-74.6768521976229,0.192291347202466,0.274744357814536,0,10,10.4266395568848,13.5437097549438,0,-74.6768521976229,0.192291347202466,0.274744357814536,0
58,58,10.4834852218628,13.6170196533203,0,-79.0107640626271,0.188395112286244,0.274302217798647,0,10,10.4834852218628,13.6170196533203,0,-79.0107640626271,0.188395112286244,0.274302217798647,0
59,59,10.5295314788818,13.4129667282104,0,-72.1795492989238,0.194742367194719,0.271738729538343,0,10,10.5295314788818,13.4129667282104,0,-72.1795492989238,0.194742367194719,0.271738729538343,0
60,60,10.4801063537598,13.2406177520752,0,-67.6589003657544,0.199066228529136,0.270305392514655,0,10,10.4801063537598,13.2406177520752,0,-67.6589003657544,0.199066228529136,0.270305392514655,0
61,61,2.29865503311157,3.6191554069519,0,-95.9453179086831,0.168765025285524,0.277382935417707,0,10,2.29865503311157,3.6191554069519,0,-95.9453179086831,0.168765025285524,0.277382935417707,0
62,62,5.61261892318726,8.14522361755371,0,-98.8031484423686,0.169034185837254,0.274901615476717,0,10,5.61261892318726,8.14522361755371,0,-98.8031484423686,0.169034185837254,0.274901615476717,0
63,63,8.69562911987305,11.9651288986206,0,-99.6765364225404,0.171182988566933,0.272637387946737,0,10,8.69562911987305,11.9651288986206,0,-99.6765364225404,0.171182988566933,0.272637387946737,0
64,64,7.76737403869629,10.9465579986572,0,-102.262108247827,0.169261671103439,0.27240302718766,0,10,7.76737403869629,10.9465579986572,0,-102.262108247827,0.169261671103439,0.27240302718766,0
65,65,9.75962352752686,13.0126428604126,0,-99.4847046506071,0.172952051716997,0.271144433871646,0,10,9.75962352752686,13.0126428604126,0,-99.4847046506071,0.172952051716997,0.271144433871646,0
66,66,10.0940380096436,13.3174257278442,0,-94.4741616819439,0.176040992991838,0.272204935794923,0,10,10.0940380096436,13.3174257278442,0,-94.4741616819439,0.176040992991838,0.272204935794923,0
67,67,10.4830951690674,13.6072988510132,0,-90.4318600663635,0.179471179244556,0.271863926136586,0,10,10.4830951690674,13.6072988510132,0,-90.4318600663635,0.179471179244556,0.271863926136586,0
68,68,10.6538181304932,13.6882753372192,0,-86.3725891091361,0.182647670399165,0.271508561161347,0,10,10.6538181304932,13.6882753372192,0,-86.3725891091361,0.182647670399165,0.271508561161347,0
69,69,10.7043886184692,13.6413230895996,0,-81.7720297752233,0.186392495346554,0.271329379799244,0,10,10.7043886184692,13.6413230895996,0,-81.7720297752233,0.186392495346554,0.271329379799244,0
70,70,10.6697301864624,13.5116195678711,0,-76.5404545908833,0.19087962489846,0.270834466748484,0,10,10.6697301864624,13.5116195678711,0,-76.5404545908833,0.19087962489846,0.270834466748484,0
71,71,10.7264099121094,13.3198738098145,0,-72.6376184998445,0.19430639180391,0.267855441262629,0,10,10.7264099121094,13.3198738098145,0,-72.6376184998445,0.19430639180391,0.267855441262629,0
72,72,2.61244964599609,4.12332677841187,0,-98.9268696213775,0.167745076208577,0.275668555153231,0,10,2.61244964599609,4.12332677841187,0,-98.9268696213775,0.167745076208577,0.275668555153231,0
73,73,5.95865440368652,8.63044452667236,0,-102.301445925526,0.168014236756982,0.273187235206652,0,10,5.95865440368652,8.63044452667236,0,-102.301445925526,0.168014236756982,0.273187235206652,0
74,74,8.01843547821045,11.2753562927246,0,-106.46097875638,0.168213641139121,0.270718907062897,0,10,8.01843547821045,11.2753562927246,0,-106.46097875638,0.168213641139121,0.270718907062897,0
75,75,9.18339920043945,12.4854602813721,0,-104.076320828797,0.17025739900018,0.270396169264455,0,10,9.18339920043945,12.4854602813721,0,-104.076320828797,0.17025739900018,0.270396169264455,0
76,76,10.6116561889648,13.6647939682007,0,-94.1968490419073,0.177457689044527,0.269965887156445,0,10,10.6116561889648,13.6647939682007,0,-94.1968490419073,0.177457689044527,0.269965887156445,0
77,77,10.455680847168,13.5602159500122,0,-98.4903813519158,0.174823703717696,0.269442729344349,0,10,10.455680847168,13.5602159500122,0,-98.4903813519158,0.174823703717696,0.269442729344349,0
78,78,10.2638244628906,13.4217681884766,0,-103.386328532793,0.17224388897872,0.268614197427726,0,10,10.2638244628906,13.4217681884766,0,-103.386328532793,0.17224388897872,0.268614197427726,0
79,79,10.9157361984253,13.7579498291016,0,-90.8750933437926,0.180228948467542,0.268449055652493,0,10,10.9157361984253,13.7579498291016,0,-90.8750933437926,0.180228948467542,0.268449055652493,0
