whole_pipe_index,Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),Pressure (Pa),X (m),Y (m),Z (m),u,v,w,p,x,y,z,average_velocity
6237,0.526585459709167,0.513749778270721,0,2.33596854511022,0.427141620757027,0.0723083881347083,0,0.526585459709167,0.513749778270721,0,2.33596854511022,0.427141620757027,0.0723083881347083,0,2
12833,1.38791942596436,2.94014310836792,0,-0.898451409573243,0.324564558542976,0.401442057533707,0,1.38791942596436,2.94014310836792,0,-0.898451409573243,0.324564558542976,0.401442057533707,0,2
4659,0.72998321056366,0.0957870930433273,0,2.03323104847075,0.0269012484799626,-0.118747801575232,0,0.72998321056366,0.0957870930433273,0,2.03323104847075,0.0269012484799626,-0.118747801575232,0,2
10247,0.382713913917542,0.5023233294487,0,2.35085954833587,0.488825625818346,0.10580472057828,0,0.382713913917542,0.5023233294487,0,2.35085954833587,0.488825625818346,0.10580472057828,0,2
4872,0.01011379994452,0.0012488028733059,0,2.19685738248146,0.233398233708612,-0.158273646870508,0,0.01011379994452,0.0012488028733059,0,2.19685738248146,0.233398233708612,-0.158273646870508,0,2
11485,0.788953065872192,2.36360502243042,0,1.22176419872068,0.470747444777582,0.393189663822088,0,0.788953065872192,2.36360502243042,0,1.22176419872068,0.470747444777582,0.393189663822088,0,2
7666,1.72726547718048,2.32878947257996,0,0.347316189494489,0.319814966007656,0.277229179017353,0,1.72726547718048,2.32878947257996,0,0.347316189494489,0.319814966007656,0.277229179017353,0,2
4238,2.04671764373779,0.348456501960754,0,1.85042603509947,0.0087671800838712,-0.04659266941012,0,2.04671764373779,0.348456501960754,0,1.85042603509947,0.0087671800838712,-0.04659266941012,0,2
7712,1.86843609809875,2.29750514030457,0,0.133444734483837,0.297356796014831,0.264693972410449,0,1.86843609809875,2.29750514030457,0,0.133444734483837,0.297356796014831,0.264693972410449,0,2
5843,0.206560403108597,0.303863227367401,0,2.39296090109273,0.484902521636611,0.0461631024413016,0,0.206560403108597,0.303863227367401,0,2.39296090109273,0.484902521636611,0.0461631024413016,0,2
8,-0.198244795203209,-0.319576382637024,0,-2.70954515522952,0.17284482157669,0.28424045644767,0,-0.198244795203209,-0.319576382637024,0,-2.70954515522952,0.17284482157669,0.28424045644767,0,2
10008,0.320736259222031,0.490917921066284,0,2.36080172754272,0.520511647986613,0.121137438865328,0,0.320736259222031,0.490917921066284,0,2.36080172754272,0.520511647986613,0.121137438865328,0,2
9229,0.361308097839355,1.6597820520401,0,1.63245713483142,0.54437678482699,0.395499727518955,0,0.361308097839355,1.6597820520401,0,1.63245713483142,0.54437678482699,0.395499727518955,0,2
10320,0.726228892803192,0.802077174186707,0,2.2842261506028,0.434191455988128,0.127059742069488,0,0.726228892803192,0.802077174186707,0,2.2842261506028,0.434191455988128,0.127059742069488,0,2
6923,2.07254123687744,1.88903474807739,0,0.67444778707688,0.270418340139954,0.188643890159218,0,2.07254123687744,1.88903474807739,0,0.67444778707688,0.270418340139954,0.188643890159218,0,2
13062,1.51036036014557,2.90108466148376,0,-1.38403199373829,0.29559793833198,0.391947888771477,0,1.51036036014557,2.90108466148376,0,-1.38403199373829,0.29559793833198,0.391947888771477,0,2
1022,2.7063627243042,1.4022890329361,0,-4.00154389223224,0.0833674603905931,0.208530210925944,0,2.7063627243042,1.4022890329361,0,-4.00154389223224,0.0833674603905931,0.208530210925944,0,2
