whole_pipe_index,Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),Pressure (Pa),X (m),Y (m),Z (m),u,v,w,p,x,y,z,average_velocity
44,0.0027091060765087,0.003159970510751,0,-6.29698911839792e-05,0.189752240683184,0.277878231907694,0,0.0027091060765087,0.003159970510751,0,-6.29698911839792e-05,0.189752240683184,0.277878231907694,0,0.01
45,0.0022000186145305,0.0026152865029871,0,-6.39262050121871e-05,0.18633173360317,0.277549111910374,0,0.0022000186145305,0.0026152865029871,0,-6.39262050121871e-05,0.18633173360317,0.277549111910374,0,0.01
46,0.0057128281332552,0.0061695626936852,0,-5.95175369550469e-05,0.202485636139029,0.273812669232144,0,0.0057128281332552,0.0061695626936852,0,-5.95175369550469e-05,0.202485636139029,0.273812669232144,0,0.01
47,0.0045028966851532,0.0049605201929807,0,-6.12594456603365e-05,0.196945721795425,0.275035157145511,0,0.0045028966851532,0.0049605201929807,0,-6.12594456603365e-05,0.196945721795425,0.275035157145511,0,0.01
48,3.96524519601371e-05,6.33725212537684e-05,0,-6.80809057483423e-05,0.169784974362471,0.279097315682183,0,3.96524519601371e-05,6.33725212537684e-05,0,-6.80809057483423e-05,0.169784974362471,0.279097315682183,0,0.01
49,0.0001776172866811,0.0002710592234507,0,-6.8691144760223e-05,0.170054134914201,0.276615995741193,0,0.0001776172866811,0.0002710592234507,0,-6.8691144760223e-05,0.170054134914201,0.276615995741193,0,0.01
50,0.0005211308598518,0.0007335703121498,0,-6.86177183480072e-05,0.171833310099811,0.274464954682314,0,0.0005211308598518,0.0007335703121498,0,-6.86177183480072e-05,0.171833310099811,0.274464954682314,0,0.01
51,0.0003684805706143,0.0005317135946825,0,-6.93064482139839e-05,0.170224410061439,0.274196853623729,0,0.0003684805706143,0.0005317135946825,0,-6.93064482139839e-05,0.170224410061439,0.274196853623729,0,0.01
52,0.0009810795309022,0.0012709222501143,0,-6.74639512916049e-05,0.175668642156211,0.274798295538292,0,0.0009810795309022,0.0012709222501143,0,-6.74639512916049e-05,0.175668642156211,0.274798295538292,0,0.01
53,0.0008638171129859,0.0011341006029397,0,-6.83959940456608e-05,0.173605975264599,0.273418449029043,0,0.0008638171129859,0.0011341006029397,0,-6.83959940456608e-05,0.173605975264599,0.273418449029043,0,0.01
54,0.0013933726586401,0.0017310907132923,0,-6.66693759046401e-05,0.178277028413831,0.274533764379044,0,0.0013933726586401,0.0017310907132923,0,-6.66693759046401e-05,0.178277028413831,0.274533764379044,0,0.01
55,0.0018516106065362,0.0022187544964253,0,-6.5796102713683e-05,0.181299088430644,0.274658902461418,0,0.0018516106065362,0.0022187544964253,0,-6.5796102713683e-05,0.181299088430644,0.274658902461418,0,0.01
56,0.0024488971102982,0.0028418998699635,0,-6.48811548621779e-05,0.184667960098707,0.274443496052552,0,0.0024488971102982,0.0028418998699635,0,-6.48811548621779e-05,0.184667960098707,0.274443496052552,0,0.01
57,0.0037343613803386,0.0041646300815045,0,-6.26646494310645e-05,0.192291347202466,0.274744357814536,0,0.0037343613803386,0.0041646300815045,0,-6.26646494310645e-05,0.192291347202466,0.274744357814536,0,0.01
58,0.0031262293923646,0.0035348576493561,0,-6.38432305166124e-05,0.188395112286244,0.274302217798647,0,0.0031262293923646,0.0035348576493561,0,-6.38432305166124e-05,0.188395112286244,0.274302217798647,0,0.01
59,0.0047918995842337,0.0051475842483341,0,-6.2209952046958e-05,0.194742367194719,0.271738729538343,0,0.0047918995842337,0.0051475842483341,0,-6.2209952046958e-05,0.194742367194719,0.271738729538343,0,0.01
60,0.0058616618625819,0.0061687296256423,0,-6.06382352789674e-05,0.199066228529136,0.270305392514655,0,0.0058616618625819,0.0061687296256423,0,-6.06382352789674e-05,0.199066228529136,0.270305392514655,0,0.01
61,4.35296642535832e-05,6.87175197526813e-05,0,-6.88850865408699e-05,0.168765025285524,0.277382935417707,0,4.35296642535832e-05,6.87175197526813e-05,0,-6.88850865408699e-05,0.168765025285524,0.277382935417707,0,0.01
62,0.0001921622897498,0.0002945764281321,0,-6.94663276644315e-05,0.169034185837254,0.274901615476717,0,0.0001921622897498,0.0002945764281321,0,-6.94663276644315e-05,0.169034185837254,0.274901615476717,0,0.01
63,0.0006242645904421,0.0008587871561758,0,-6.93150340750889e-05,0.171182988566933,0.272637387946737,0,0.0006242645904421,0.0008587871561758,0,-6.93150340750889e-05,0.171182988566933,0.272637387946737,0,0.01
64,0.0004162229597568,0.0005900698597542,0,-7.01660929093696e-05,0.169261671103439,0.27240302718766,0,0.0004162229597568,0.0005900698597542,0,-7.01660929093696e-05,0.169261671103439,0.27240302718766,0,0.01
65,0.0010647150920704,0.00135690998286,0,-6.9168401173525e-05,0.172952051716997,0.271144433871646,0,0.0010647150920704,0.00135690998286,0,-6.9168401173525e-05,0.172952051716997,0.271144433871646,0,0.01
66,0.0013870218535885,0.0017184438183903,0,-6.78501669726308e-05,0.176040992991838,0.272204935794923,0,0.0013870218535885,0.0017184438183903,0,-6.78501669726308e-05,0.176040992991838,0.272204935794923,0,0.01
67,0.0020156467799097,0.0023681556340307,0,-6.68038244697133e-05,0.179471179244556,0.271863926136586,0,0.0020156467799097,0.0023681556340307,0,-6.68038244697133e-05,0.179471179244556,0.271863926136586,0,0.01
68,0.0026415502652525,0.0029947478324174,0,-6.59425680815606e-05,0.182647670399165,0.271508561161347,0,0.0026415502652525,0.0029947478324174,0,-6.59425680815606e-05,0.182647670399165,0.271508561161347,0,0.01
69,0.0033554185647517,0.0037065162323415,0,-6.48438340571798e-05,0.186392495346554,0.271329379799244,0,0.0033554185647517,0.0037065162323415,0,-6.48438340571798e-05,0.186392495346554,0.271329379799244,0,0.01
70,0.0042894477955997,0.0046170032583177,0,-6.34084969528199e-05,0.19087962489846,0.270834466748484,0,0.0042894477955997,0.0046170032583177,0,-6.34084969528199e-05,0.19087962489846,0.270834466748484,0,0.01
71,0.0055667958222329,0.0057652057148516,0,-6.25174825324856e-05,0.19430639180391,0.267855441262629,0,0.0055667958222329,0.0057652057148516,0,-6.25174825324856e-05,0.19430639180391,0.267855441262629,0,0.01
72,4.70184349978808e-05,7.51584302634001e-05,0,-6.96957616219498e-05,0.167745076208577,0.275668555153231,0,4.70184349978808e-05,7.51584302634001e-05,0,-6.96957616219498e-05,0.167745076208577,0.275668555153231,0,0.01
