Unnamed: 0,whole_pipe_index,Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),Pressure (Pa),X (m),Y (m),Z (m),average_velocity,u,v,w,p,x,y,z
0,0,0.342482924461365,0.348057776689529,0,-21.3611592291988,0.175153880357735,0.285187897054404,0,5,0.342482924461365,0.348057776689529,0,-21.3611592291988,0.175153880357735,0.285187897054404,0
1,1,1.37600314617157,1.80634570121765,0,-21.2915194602498,0.176423061148614,0.28444254645555,0,5,1.37600314617157,1.80634570121765,0,-21.2915194602498,0.176423061148614,0.28444254645555,0
2,2,-0.394596666097641,-0.707190632820129,0,-21.3848928602594,0.173864770650313,0.285954836706558,0,5,-0.394596666097641,-0.707190632820129,0,-21.3848928602594,0.173864770650313,0.285954836706558,0
3,3,0.440663695335388,0.480445057153702,0,-21.5434496963095,0.174133931205367,0.283473516771156,0,5,0.440663695335388,0.480445057153702,0,-21.5434496963095,0.174133931205367,0.283473516771156,0
4,4,1.54275631904602,1.99190783500671,0,-21.476804871227,0.175359204732131,0.282747990326931,0,5,1.54275631904602,1.99190783500671,0,-21.476804871227,0.175359204732131,0.282747990326931,0
5,5,2.41237282752991,3.13310384750366,0,-20.9684890130685,0.178431882986543,0.284592130004738,0,5,2.41237282752991,3.13310384750366,0,-20.9684890130685,0.178431882986543,0.284592130004738,0
6,6,2.63171362876892,3.36099934577942,0,-21.2027258990253,0.177319976498619,0.282782719030309,0,5,2.63171362876892,3.36099934577942,0,-21.2027258990253,0.177319976498619,0.282782719030309,0
7,7,3.2624785900116,4.17401027679443,0,-20.6732161071661,0.18084184268812,0.285157234644915,0,5,3.2624785900116,4.17401027679443,0,-20.6732161071661,0.18084184268812,0.285157234644915,0
8,8,-0.350531905889511,-0.623009979724884,0,-21.5777124779488,0.17284482157669,0.28424045644767,0,5,-0.350531905889511,-0.623009979724884,0,-21.5777124779488,0.17284482157669,0.28424045644767,0
9,9,0.56973797082901,0.651046097278595,0,-21.749965978165,0.173113982138394,0.281759136523445,0,5,0.56973797082901,0.651046097278595,0,-21.749965978165,0.173113982138394,0.281759136523445,0
10,10,1.72905516624451,2.21223998069763,0,-21.7031083142593,0.174261931417527,0.280996257201723,0,5,1.72905516624451,2.21223998069763,0,-21.7031083142593,0.174261931417527,0.280996257201723,0
11,11,1.93849086761475,2.45810699462891,0,-21.9071120895125,0.173226476430948,0.279346001337053,0,5,1.93849086761475,2.45810699462891,0,-21.9071120895125,0.173226476430948,0.279346001337053,0
12,12,2.70592904090881,3.41909003257751,0,-21.4592288258546,0.175930342265827,0.280995258270595,0,5,2.70592904090881,3.41909003257751,0,-21.4592288258546,0.175930342265827,0.280995258270595,0
13,13,3.5896110534668,4.45310258865356,0,-21.1972631691003,0.177941720068095,0.280992713242929,0,5,3.5896110534668,4.45310258865356,0,-21.1972631691003,0.177941720068095,0.280992713242929,0
14,14,3.79311895370483,4.73871898651123,0,-20.8548230826801,0.180052640475425,0.282582282353448,0,5,3.79311895370483,4.73871898651123,0,-20.8548230826801,0.180052640475425,0.282582282353448,0
15,15,5.09687471389771,6.46770334243774,0,-17.5403282218206,0.19526701340399,0.28601247998058,0,5,5.09687471389771,6.46770334243774,0,-17.5403282218206,0.19526701340399,0.28601247998058,0
16,16,5.08052635192871,6.39022541046143,0,-18.1862308698235,0.1923381575781,0.28483349566857,0,5,5.08052635192871,6.39022541046143,0,-18.1862308698235,0.1923381575781,0.28483349566857,0
17,17,4.96532392501831,6.22727489471436,0,-18.8694417153035,0.189419710856421,0.284406274956306,0,5,4.96532392501831,6.22727489471436,0,-18.8694417153035,0.189419710856421,0.284406274956306,0
18,18,4.74493837356567,5.93773698806763,0,-19.6027870363325,0.186176810941397,0.283856191394432,0,5,4.74493837356567,5.93773698806763,0,-19.6027870363325,0.186176810941397,0.283856191394432,0
19,19,4.31785917282104,5.40958547592163,0,-20.2964027917443,0.183071425799886,0.283561347653664,0,5,4.31785917282104,5.40958547592163,0,-20.2964027917443,0.183071425799886,0.283561347653664,0
20,20,5.26866960525513,6.56004524230957,0,-16.8404544721289,0.19787724283176,0.282575870799357,0,5,5.26866960525513,6.56004524230957,0,-16.8404544721289,0.19787724283176,0.282575870799357,0
21,21,-0.319304287433624,-0.543064773082733,0,-21.7923649968599,0.171824872509717,0.282526076199959,0,5,-0.319304287433624,-0.543064773082733,0,-21.7923649968599,0.171824872509717,0.282526076199959,0
22,22,0.730601608753204,0.873382925987244,0,-21.9861132611486,0.172094033084262,0.28004475618932,0,5,0.730601608753204,0.873382925987244,0,-21.9861132611486,0.172094033084262,0.28004475618932,0
23,23,2.97663903236389,3.70756220817566,0,-21.6671000021513,0.17486648625942,0.279179743191832,0,5,2.97663903236389,3.70756220817566,0,-21.6671000021513,0.17486648625942,0.279179743191832,0
