Unnamed: 0,whole_pipe_index,Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),Pressure (Pa),X (m),Y (m),Z (m),average_velocity,u,v,w,p,x,y,z
0,0,9.60042953491211,14.7640781402588,0,-340.703201822752,0.175153880357735,0.285187897054404,0,20,9.60042953491211,14.7640781402588,0,-340.703201822752,0.175153880357735,0.285187897054404,0
1,1,13.0315456390381,19.7089710235596,0,-339.849087766765,0.176423061148614,0.28444254645555,0,20,13.0315456390381,19.7089710235596,0,-339.849087766765,0.176423061148614,0.28444254645555,0
2,2,4.72802305221558,7.71555614471436,0,-341.104476883922,0.173864770650313,0.285954836706558,0,20,4.72802305221558,7.71555614471436,0,-341.104476883922,0.173864770650313,0.285954836706558,0
3,3,9.98309803009033,15.3194952011108,0,-348.811675693271,0.174133931205367,0.283473516771156,0,20,9.98309803009033,15.3194952011108,0,-348.811675693271,0.174133931205367,0.283473516771156,0
4,4,13.3278369903564,20.0869922637939,0,-347.832838715111,0.175359204732131,0.282747990326931,0,20,13.3278369903564,20.0869922637939,0,-347.832838715111,0.175359204732131,0.282747990326931,0
5,5,15.1010713577271,22.4316883087158,0,-334.042281363651,0.178431882986543,0.284592130004738,0,20,15.1010713577271,22.4316883087158,0,-334.042281363651,0.178431882986543,0.284592130004738,0
6,6,15.4225673675537,22.8015880584717,0,-342.022892361922,0.177319976498619,0.282782719030309,0,20,15.4225673675537,22.8015880584717,0,-342.022892361922,0.177319976498619,0.282782719030309,0
7,7,16.5121307373047,24.2204647064209,0,-326.363503744631,0.18084184268812,0.285157234644915,0,20,16.5121307373047,24.2204647064209,0,-326.363503744631,0.18084184268812,0.285157234644915,0
8,8,5.06022596359253,8.25890159606934,0,-349.252815403764,0.17284482157669,0.28424045644767,0,20,5.06022596359253,8.25890159606934,0,-349.252815403764,0.17284482157669,0.28424045644767,0
9,9,10.3927803039551,15.8957633972168,0,-357.980088583344,0.173113982138394,0.281759136523445,0,20,10.3927803039551,15.8957633972168,0,-357.980088583344,0.173113982138394,0.281759136523445,0
10,10,13.6456565856934,20.4955024719238,0,-357.432245972383,0.174261931417527,0.280996257201723,0,20,13.6456565856934,20.4955024719238,0,-357.432245972383,0.174261931417527,0.280996257201723,0
11,11,13.9710445404053,20.914155960083,0,-366.972638719805,0.173226476430948,0.279346001337053,0,20,13.9710445404053,20.914155960083,0,-366.972638719805,0.173226476430948,0.279346001337053,0
12,12,15.499041557312,22.8625831604004,0,-352.003254883695,0.175930342265827,0.280995258270595,0,20,15.499041557312,22.8625831604004,0,-352.003254883695,0.175930342265827,0.280995258270595,0
