x,y,u,v
-1,-1.5,0.00195782407771656,1.00371005073259
-1,-1.49689048787372,0.00191121844839928,1.0036501892475
-1,-1.48958443640864,0.00179666964369903,1.00351405347254
-1,-1.47812552017162,0.00159945616367568,1.00334247361759
-1,-1.46254656749955,0.00129551581306878,1.0031497843042
-1,-1.44289115712439,0.000862007222044232,1.00293966231391
-1,-1.4192141171553,0.00029063535533911,1.00267592607222
-1,-1.39158145645713,-0.000397283810269964,1.0023058688023
-1,-1.36007019956889,-0.00113573098946432,1.00175617093685
-1,-1.32476817766583,-0.00180514235972996,1.00097772888277
-1,-1.28577378579426,-0.00224131122887409,0.999969955116895
-1,-1.2431957094683,-0.00227060588369207,0.998833090303209
-1,-1.19715262212937,-0.00177530311655863,0.997772367654863
-1,-1.14777285457348,-0.000773296435924713,0.997080011921338
-1,-1.09519403737191,0.000520749656802357,0.9970333742863
-1,-1.03956271732697,0.00170403822653742,0.997765532653314
-1,-0.981033949053111,0.0023008259809992,0.999124383757557
-1,-0.919770862832244,0.00197616854956273,1.00064556470184
-1,-0.855944209953183,0.000759377444014049,1.00167840717907
-1,-0.789731886805503,-0.000858834257856304,1.00169007511198
-1,-0.721318439055935,-0.00208154418031228,1.00059581955613
-1,-0.650894547290288,-0.00220606311886984,0.99892231740653
-1,-0.578656495555098,-0.0010781737440256,0.997606959295747
-1,-0.504805624280668,0.0007094626032072,0.997480787819385
-1,-0.429547769110544,0.00208528330318253,0.998706057593161
-1,-0.353092687201682,0.00214945692948203,1.00057851109558
-1,-0.275653472594394,0.000810147279133349,1.0019063542483
-1,-0.197445962281637,-0.00107909413776078,1.00179577651154
-1,-0.118688134633086,-0.00224814205867925,1.00029538510903
-1,-0.0395995018507187,-0.00188441871790045,0.998418103041669
-1,0.0395995018507187,-0.000228155233374701,0.997454096021118
-1,0.118688134633086,0.00158245213720133,0.998064085213445
-1,0.197445962281637,0.00230924858581159,0.999815236333606
-1,0.275653472594394,0.0014779196113377,1.00150095926248
-1,0.353092687201682,-0.000325221227415039,1.00199327041391
-1,0.429547769110544,-0.00189924130284303,1.00099530919829
-1,0.504805624280667,-0.00225978879827782,0.999178493696367
-1,0.578656495555098,-0.00124100204511303,0.997670241044923
-1,0.650894547290288,0.00048445854074932,0.997320112074879
-1,0.721318439055935,0.00190502398733809,0.998228035036709
-1,0.789731886805503,0.00228574461269315,0.999797591665867
-1,0.855944209953183,0.00151894837598133,1.0011598712486
-1,0.919770862832244,6.86847597982243e-05,1.00166753772681
-1,0.981033949053111,-0.00136155078114629,1.0011583151248
-1,1.03956271732697,-0.00219888916620687,0.999931403158925
-1,1.09519403737191,-0.00221031918682127,0.998507704517752
-1,1.14777285457348,-0.00150775928427046,0.997378888638339
-1,1.19715262212937,-0.000411784780824117,0.99683098137159
-1,1.2431957094683,0.000719487299159067,0.996918841433924
-1,1.28577378579426,0.00161673096266605,0.99751721235075
-1,1.32476817766583,0.00214803858716288,0.99842962724266
-1,1.36007019956889,0.00230752346032218,0.999457984885208
-1,1.39158145645713,0.00217047222312493,1.00046352301662
-1,1.4192141171553,0.00184495836537018,1.00136203942075
-1,1.44289115712439,0.00143556895434374,1.00212754443995
-1,1.46254656749955,0.00102462302017734,1.00275293493399
-1,1.47812552017162,0.000667574286764372,1.00325097295352
-1,1.48958443640864,0.000395794105114489,1.00362104028953
-1,1.49689048787372,0.000221580296148102,1.00386881926512
-1,1.5,0.000147497892626581,1.00397203194794
-0.997926991915811,-1.5,0.00200402965400052,1.00367822003492
-0.997926991915811,-1.49689048787372,0.00195424769165543,1.00361772002794
-0.997926991915811,-1.48958443640864,0.00183343806162951,1.00347961894334
-0.997926991915811,-1.47812552017162,0.00162931266852794,1.00330423364818
-0.997926991915811,-1.46254656749955,0.00132020866684399,1.00310655832124
-0.997926991915811,-1.44289115712439,0.000884836628213088,1.00289155281498
-0.997926991915811,-1.4192141171553,0.000315615965610865,1.00262468926044
-0.997926991915811,-1.39158145645713,-0.000366267796814695,1.00225507813854
-0.997926991915811,-1.36007019956889,-0.00109607452259296,1.00171128390587
-0.997926991915811,-1.32476817766583,-0.00175679991892055,1.0009454340068
-0.997926991915811,-1.28577378579426,-0.0021878749770138,0.999956817524795
-0.997926991915811,-1.2431957094683,-0.00221955239405883,0.998843302252409
-0.997926991915811,-1.19715262212937,-0.00173684780820387,0.997805284207648
-0.997926991915811,-1.14777285457348,-0.000757483189768532,0.997128305132087
-0.997926991915811,-1.09519403737191,0.000508234399052645,0.997083297558259
-0.997926991915811,-1.03956271732697,0.00166594909843522,0.997800215954859
-0.997926991915811,-0.981033949053111,0.00224992328515783,0.999130134196475
-0.997926991915811,-0.919770862832244,0.00193225908086643,1.00061886977778
-0.997926991915811,-0.855944209953183,0.000741564700448797,1.00163001600995
-0.997926991915811,-0.789731886805503,-0.000841932133489472,1.00164251193774
-0.997926991915811,-0.721318439055935,-0.00203837316674561,1.00057343096387
-0.997926991915811,-0.650894547290288,-0.00216005655793384,0.998937803420781
-0.997926991915811,-0.578656495555098,-0.00105607084284124,0.997652252978614
-0.997926991915811,-0.504805624280668,0.000693605610238642,0.997529495557974
-0.997926991915811,-0.429547769110544,0.00204021069595582,0.998728182698175
-0.997926991915811,-0.353092687201682,0.00210316914026616,1.00055964147157
-0.997926991915811,-0.275653472594394,0.000792542197077772,1.00185845132734
-0.997926991915811,-0.197445962281637,-0.00105627732846711,1.00175052874322
-0.997926991915811,-0.118688134633086,-0.00220027638521676,1.00028345862794
-0.997926991915811,-0.0395995018507187,-0.00184421717204134,0.99844772864823
