x,y,u,v
1,0,-0.00174093427308249,0.991765427193725
0.999998674585667,0.00162813602271143,-0.00233158715052794,0.998550569599452
0.999985129289389,0.0054535493107255,-0.00462354480749596,1.01362341436094
0.999934409948778,0.0114532004430845,-0.00977171343658026,1.03490182379262
0.999807718907018,0.0196093144690407,-0.0180015932201058,1.06029371608189
0.999552964914307,0.0298976643070774,-0.0290598909159972,1.08870877764482
0.999105514213221,0.0422867765233472,-0.0431791733197769,1.11963247549192
0.998389140160438,0.0567373317111525,-0.0608119639124142,1.15236123323421
0.997317168523833,0.0732015393800199,-0.0823165901882071,1.1861419588701
0.99579381359937,0.0916224906735376,-0.10802632737337,1.22016181557633
0.993715697571216,0.111933517770829,-0.138153845696754,1.25349137601357
0.990973542139342,0.134057595009776,-0.172668368976871,1.28512247991004
0.987454017424408,0.157906818954713,-0.211226232279784,1.31411078559506
0.983041728641343,0.183382004978242,-0.253173998825845,1.33973960500934
0.977621316172414,0.210372436800351,-0.297693568897756,1.36172422501071
0.971079639674445,0.238755802881834,-0.344081915080025,1.3802732524816
0.963308011967867,0.268398349619582,-0.392090757887428,1.39596687592972
0.954204443948294,0.299155275984441,-0.442132754282923,1.4093434516069
0.943675857918303,0.330871387675265,-0.495160595264491,1.42038954775768
0.931640223838596,0.363382021192534,-0.552135615100676,1.42815034938907
0.91802857130448,0.396514239679555,-0.613263022795887,1.43085203893517
0.902786829788195,0.430088293215453,-0.677441604445918,1.42660016533426
0.885877451018437,0.463919326798397,-0.74238478410241,1.41441631689674
0.867280770394532,0.497819309894532,-0.805550472902939,1.39495039372239
0.846996069072546,0.531599152534741,-0.865442970374625,1.37028598652513
0.825042304744923,0.565070964907228,-0.92241017917149,1.342729792588
0.801458487004775,0.59805041059096,-0.978249595210955,1.31331244494678
0.776303682295465,0.630359098335624,-1.03471814159629,1.28104340608073
0.74965664347319,0.661826953890903,-1.09191882124214,1.24361611423111
0.7216150695707,0.692294512016724,-1.14778762526104,1.19916279950321
0.692294512016724,0.7216150695707,-1.19914760317802,1.14782676226301
0.661826953890903,0.749656643473189,-1.24363393532296,1.09195562771727
0.630359098335624,0.776303682295465,-1.28108165303546,1.03472990144946
0.598050410590961,0.801458487004775,-1.31334631450949,0.97822894377297
0.565070964907228,0.825042304744923,-1.34273623569678,0.922370915359092
0.531599152534741,0.846996069072546,-1.37025990896315,0.865411633167499
0.497819309894532,0.867280770394532,-1.39490798243839,0.805549160726721
0.463919326798397,0.885877451018437,-1.41438533834187,0.742416319018941
0.430088293215453,0.902786829788195,-1.42660124152899,0.677487385629097
0.396514239679555,0.91802857130448,-1.43088548703632,0.613295713717219
0.363382021192535,0.931640223838595,-1.42819756938977,0.552137300693602
0.330871387675265,0.943675857918303,-1.42042696956052,0.495130480728865
0.299155275984441,0.954204443948294,-1.40935250788483,0.442084897573862
0.268398349619582,0.963308011967867,-1.3959438026489,0.392048013043213
0.238755802881834,0.971079639674445,-1.38022926751174,0.344061457295558
0.210372436800351,0.977621316172414,-1.36167592128298,0.297702092897599
0.183382004978242,0.983041728641343,-1.33970335354225,0.253208148420299
0.157906818954713,0.987454017424408,-1.31409736003622,0.211275199473252
0.134057595009776,0.990973542139342,-1.28513505891273,0.172718412055913
0.111933517770829,0.993715697571216,-1.25352546365003,0.13819322330616
0.0916224906735376,0.99579381359937,-1.22020945410533,0.10804874359665
0.0732015393800198,0.997317168523833,-1.18619507748869,0.0823202691678745
0.0567373317111525,0.998389140160438,-1.15241331894101,0.060798569089808
0.0422867765233473,0.999105514213221,-1.11967945644331,0.0431523040072533
0.0298976643070774,0.999552964914307,-1.08874901126078,0.029023959767291
0.0196093144690409,0.999807718907018,-1.06032764373328,0.0179620689270636
0.0114532004430845,0.999934409948778,-1.03493432760403,0.00973520820766824
0.0054535493107255,0.999985129289389,-1.01366374605801,0.00459283831691878
0.00162813602271151,0.999998674585667,-0.99860400972036,0.00230364856154244
6.12323399573677e-17,1,-0.991826991418443,0.00171295127442819
1.00207300808419,0,-0.0102803549759931,0.99135177211103
1.00207167992226,0.00163151116184867,-0.010627887034503,0.997796486061776
1.00205810654647,0.00546485456253415,-0.0123224483203622,1.01227788836909
1.00200728206426,0.0114769430201929,-0.0166247831957056,1.03306338606587
1.00188032839095,0.0196499647364604,-0.0240407515011292,1.05820792975943
1.00162504629115,0.0299596424068843,-0.0344749159453785,1.08647646757443
1.00117666802114,0.0423744373529344,-0.0480865050479683,1.11723328840961
1.00045880891916,0.056854948658465,-0.0652585937776072,1.14978287460917
0.999384615076683,0.0733532867629297,-0.0863307731408505,1.18337982578346
0.997858102225147,0.0918124248373974,-0.111614609354979,1.21721587034773
0.995775678245666,0.112165556858059,-0.141308454810197,1.25037732108938
0.993027838303415,0.134335497487978,-0.175379675675093,1.28187530328794
0.989501017585294,0.158234161066954,-0.213495028985639,1.31078267749529
0.985079582091912,0.183762157357056,-0.255023459322768,1.33639134213609
0.979647933064115,0.210808540562528,-0.299174304363002,1.35840798423332
0.973092695617882,0.239250745591355,-0.3452655310512,1.3770132958795
0.965304957264241,0.268954741568127,-0.393048883300186,1.39274519290274
0.956182517474568,0.299775427289984,-0.442907760421898,1.40610333759017
0.945632105600621,0.331557286736743,-0.495741376272451,1.41706028699269
0.933571521554169,0.364135315060115,-0.552455363179904,1.42468887999298
0.919931651954311,0.397336216903906,-0.613229150801895,1.42727962951741
0.904658314184645,0.430979869724203,-0.676988208316866,1.42301010222349
0.887713882135999,0.464881035313261,-0.741520364734107,1.41093881550806
