Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),X (m),Y (m),Z (m)
-0.1246815003751069,0.034990982426301755,0.009932514836827248,-0.284701420759617,0.3340381398032214,0.0379633432767133
-0.11044661941424257,0.05128031299752426,0.005099078280156612,-0.7772229771824779,0.3748010717276925,0.0130388445283346
0.01156610946106306,-0.01816720618002537,-0.002345198897087165,-0.5498166889862883,0.3413178876349453,0.0993085900543264
-0.04664872557742121,0.002182656702975721,-0.030522259185260633,-0.1802837028873116,0.19567682004194928,0.0737828844190655
0.004171829335717878,0.013469127145411725,0.004216252325645221,-0.5061586705842864,0.24600874185231708,0.0379035041844628
-0.017776207540494783,0.0189443638308145,-0.005177207295214326,0.1861792266431792,0.028789732778292054,0.0965296952018172
-0.001152359550999361,-0.0008962835526244006,-0.0031361117965383093,-0.5996183768856282,0.2678364884841702,0.0282770538364182
-0.07089256763928597,-0.013205233679121306,0.027933521073204813,-0.1407428841212502,0.18723638231231518,-0.0719632591888168
-0.02685299082664961,0.0763719160329703,0.0034208491187882775,0.22956266022665905,-0.042343748141708604,-0.070212032960221
-0.07292885049581042,0.051003990133986,-0.02787467444465419,0.03415982858007465,0.14654848655728622,0.0287998014667986
-0.009536767154453892,-0.01288257178126554,-0.0004449829443727935,0.012457990430650677,0.25763087154423836,0.0873508803058869
0.00572767756607478,-0.013868459948010857,0.012483095196553431,-0.8414051105875183,0.44493746830549596,-0.0971429879272948
-0.008817628013903957,0.029516464065020752,-0.009192014907318021,0.2699418242086,-0.28666210896648525,-0.068890360414592
-0.10917332951562674,0.02757982702559147,0.0003384228717307862,-0.6781249651111197,0.4401345848660837,-0.0207592616407152
0.026398205695473714,0.010773068430844019,-0.013955510074333271,-0.03237061992032801,0.1373423733852386,-0.0081921925972169
-0.011435213363148537,0.15479717789406333,0.00883214433751841,0.19884604336555955,0.006082535032815861,-0.0112050768193779
-0.03614808210437562,-0.005747375381867223,0.008665376092777594,-0.6229001419135232,0.34068963440802735,-0.0932163966315593
0.0005789486816872508,-0.002907090314297401,0.005768970229716392,0.2167118759643345,0.17171391976611175,-0.0691649787721549
-0.019392415793258264,0.020614564536240887,-0.005711332534393531,0.08895439275685518,0.2887811181754243,0.0162830575461832
-0.025659127994811758,0.010208069026669203,-0.007636160703397422,-0.2166002452013392,0.19625479302470503,0.0688798305871258
