Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),X (m),Y (m),Z (m)
-0.011661103678810696,0.0005562311088110185,0.0061046611517667,0.10420800665851382,0.07116733644357709,0.0518825066775254
-0.012741161965987702,0.004309295910494486,0.0001500184007454,0.0940357756702975,0.09025322214394195,0.0003840629500812
-0.011734714214572924,0.004048886663946222,-0.0009994463762268,0.09904956226943064,0.08825892340591536,-0.008248476479128
-0.012207074984182978,0.0040641356760114065,0.0013157376088202,0.09607049139205649,0.08904486687723205,0.0105699805406734
-0.012247416680974932,0.0037427161209898454,0.0024191630072891,0.0966993905410913,0.08714699445582948,0.0204647706429318
-0.012150008819719801,0.003148107340453782,0.0035423191729933,0.09743241560030591,0.0843338371784969,0.0298466871227882
-0.011973190937800637,0.0038399297325317655,-0.0022243252024054,0.09829615149485468,0.08719061406891317,-0.0175989646265579
-0.011593836378568246,0.0024586318885274636,-0.0044166245497763,0.1019413634230098,0.07977344489221667,-0.0375247903944856
-0.011745928783418041,0.0029350008803920215,-0.003703310387209,0.09969856819122959,0.0831278775561791,-0.0311584203595614
-0.011274110810915476,0.003344400470748462,-0.0030381074175238,0.10191808062486524,0.08431606612387846,-0.0248237274670968
-0.01140676763216563,-0.00025510905878907165,0.0066026845015585,0.1084393511449718,0.0660888880809758,0.0566803521650662
-0.011000118683141052,0.0033943590158019695,0.0029638004489243,0.10395092822902435,0.08365373242086097,0.0244127371092095
-0.009881604284488447,0.003453017339668145,0.0024501325096935,0.11056607722173684,0.08218801438492819,0.0202758473678102
-0.01107946719774822,0.0019221797156224354,0.0050312550738453,0.10621990981425422,0.07625106896704903,0.0416727009860679
-0.011550026073613783,0.0024442453411721364,0.0043498063459992,0.10121332060769643,0.08055344198326757,0.0363920395239382
-0.010451520909723941,0.0004501925101529177,0.0062203682027757,0.11510775924317382,0.06665791117711518,0.051890713765266
-0.010704426132947274,0.00119214150083838,0.0056662168353796,0.110789057549535,0.0716266918602572,0.0468650045812739
-0.009528385590712883,0.0010285005889068832,0.00577849522233,0.12170672097238099,0.06685113295434476,0.0468580794183244
-0.010543719042862547,0.0029023286571048332,0.0037992228753864,0.10771974027326997,0.08020331960761914,0.030958538344428
-0.00978503812143789,0.0018014922007369438,0.005176009144634,0.11736332229143666,0.07166632302845916,0.0416312028619323
-0.009623852632420465,0.0032010983484931856,0.0031314492225646,0.11396071068060816,0.07943193550668821,0.0255780593644912
-0.010141561190816122,0.00242516019482608,0.0044659366831183,0.11263644786993683,0.07613752892863354,0.0363447691240847
-0.03398783315931228,0.0035784689322210872,0.0163363777101039,0.10369950933710473,0.06986584429399387,0.0510301046552648
-0.010819662400634233,0.0038062705206268594,0.0018301851814612,0.10449112587135181,0.08545109787780635,0.0150195394430506
-0.010913840848881612,0.004007906044838969,0.0008718420285731,0.10331895530374965,0.08694694538629524,0.0061265350790622
-0.01107315921471236,0.004025717555823657,-5.8378511312184855e-05,0.10254474248414379,0.08743934613892607,-0.0011266197908875
-0.010171160413289856,0.003932454520758436,-0.0006998965400271,0.10713586905384262,0.08558461386567513,-0.0057934372345529
-0.00966503844164264,0.004065975164811192,0.000168956365087,0.11159327516934706,0.08395585517223107,0.0011536617771508
-0.009204660103673188,0.003665010161228988,0.0018103391630575,0.11518074261579853,0.0813638472354119,0.0147007804826449
-0.009762131515857668,0.003857732451908043,0.0011451893951743,0.11094246747736555,0.08383121224677326,0.0089228310381306
-0.0112357130291323,-0.001103890496344645,0.0070444443263113,0.1124878459225945,0.06063751523207941,0.0613129186503353
-0.010279915686198501,-0.0003659993847503853,0.0067049781791865,0.11915191198634938,0.061399927932846245,0.0566821667445871
-0.010092810971651153,-0.0012588060324755022,0.0070853722281754,0.12292888045796296,0.055810434747555045,0.0613090819165815
-0.009279475600216549,0.0002841375704369323,0.0063119637779891,0.12580247963850905,0.06171364237822022,0.0518859236444685
-0.009079353736564013,-0.0005894447409135341,0.0067440471611917,0.12964892860182703,0.05629441377147027,0.0566614677215977
-0.01106699802520639,-0.0019225785569139111,0.0074035315774381,0.11616106212258476,0.05490999806981811,0.0657637750029789
-0.010001291850402605,-0.002111325656930105,0.0074292472563683,0.12634588845766315,0.04994047669272819,0.0657652329955352
-0.009033581744783251,-0.001443569234532322,0.0070804739370942,0.13314348311393767,0.05056484693359382,0.0613056265722145
-0.036418889987619,0.012931044180580666,0.0003626856196206,0.09352625563552881,0.08869991030728386,0.0003684140899526
-0.03402151490772634,0.012524014597459715,-0.0026550367474555,0.09851430039471554,0.08671896658293231,-0.0081172400671051
-0.010281414615298584,0.0038688746617071526,-0.0015248478157445,0.10776892856160136,0.08458851466345892,-0.0127082993673832
-0.009244713881909719,0.003902737061113271,-0.0008390775183215,0.11494349947403411,0.08234723757155972,-0.0071667830499028
-0.03507560041282626,0.012382903306264976,0.0035190472844988,0.0955521313194321,0.0875046091764512,0.0103839037235865
-0.03517167748553734,0.011545216852498647,0.0065261167474091,0.09618148952739933,0.08563250512988711,0.0201276770107361
-0.035184694085189504,0.0100430529052071,0.0095312120392918,0.09691477729727342,0.08285861059254285,0.0293653853870357
-0.010483549546869399,0.0031216460945510116,-0.0035637766122817,0.1082900142860658,0.08041107961259994,-0.0295226446965043
-0.034522271927880877,0.0118385894846319,-0.0058020059950649,0.09776948090319826,0.08567025365560771,-0.0173086337643169
-0.010211629518511465,0.0035335679653896116,-0.0025748631451278,0.10884914437142525,0.08274027274078896,-0.0206140278148571
