Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),X (m),Y (m),Z (m),inlet_vel
-3.755942734375227e-05,0.0001632619687184,-0.0002530926722101,0.2995861910084461,0.0025008853600273,-0.0096575456997093,0.1
0.0,0.0,0.0,0.1088412484754136,-0.0006329421161865,-0.0381946952814598,0.1
-0.0195806088679325,0.0984467841179166,0.0075025088153779,0.1646769599425329,0.0034803991092519,-0.0696038947226377,0.1
-0.0085555775992627,0.1091135567652737,0.001101940521039,0.2581039912642013,0.004235114960344,0.0197388703295356,0.1
-0.0013442915370807,0.015566322212591,-0.002581721637398,0.1063095078409007,0.0031267204418352,0.0287393040012873,0.1
-0.0141412940512422,0.1493920903654758,0.0006495083798654,0.2045057228071279,0.00219611291765,-0.0398735719240913,0.1
-0.0016660578554327,0.0062578500009698,0.0033545193728059,0.2892489718700913,-0.0007988948933893,0.0365312349898159,0.1
-0.0112180250536939,0.0126203255470495,-0.0044524874538183,0.237582786425707,-0.0007989386802888,-0.0881975734308101,0.1
-0.004292715101673,0.0075403991204396,-0.002827470889315,0.1460154829466673,-0.0008077149253604,0.0823668884784421,0.1
-0.0006637189245618,0.0391526282971574,-0.0001022674478008,0.1036336785177746,-0.0024681175061421,3.0736961787071384e-05,0.1
-0.001654220015904,0.0601721101017709,-0.0001622502750251,0.1055960983660668,-0.0024526939345855,2.982287338166136e-05,0.1
-0.0149401902610339,0.1634374311886956,4.280770735931584e-05,0.1938677638993793,0.0029736154517932,-0.0045650869047743,0.1
-0.0115376154061164,0.1097818401420157,0.0019898433238267,0.2376022810476546,-0.0021874884424867,0.0508121352292032,0.1
-5.930426138359592e-06,0.0003155012209296,-1.802015867724549e-05,0.3001032886889825,-0.0024841688693471,-1.7133669397993972e-05,0.1
-0.0126070475136347,0.1376610424356055,0.0003140005574095,0.2271926161260284,0.0035357006076574,0.0369165338628769,0.1
-0.0095369398204091,0.1257291095400406,2.38108477788046e-05,0.25186298242535,0.0048119458462187,0.0034628891456729,0.1
-0.0139199012415253,0.0218960887145172,-0.0054171243682503,0.2366811774827554,-0.0007931986131133,-0.086022460890663,0.1
-0.0201348436179539,0.0710074041157001,-0.0115671269595623,0.1513262514919711,0.0001255246063587,0.0742104704284943,0.1
-0.0157301878507879,0.1385039130316181,-0.0046980739571154,0.1565001537416413,0.0032481916386954,0.042861862982311,0.1
-0.0054398800054353,0.0047739322189266,-0.0035352318082004,0.2551783297983073,-0.0008037235814872,-0.0810071257224867,0.1
-0.0176152170665141,0.0211571614296831,-0.0016329366480931,0.1916978899933646,0.0031148632060216,0.0949503354868089,0.1
-0.0117188157145506,0.1522651507973034,-0.000200101712835,0.2276810758503736,-0.0022050422566468,-0.0098665573728752,0.1
-0.0152374688144302,0.1023968217703652,0.001414383878,0.222692365599781,0.0044231828496546,0.0640482656056775,0.1
-0.0128782237198976,0.0999560684312416,0.0097060389816761,0.1350707206737364,-0.0045326563049774,-0.0499032713644577,0.1
-0.0060094935000714,0.0668206100452881,-0.0034970375709235,0.2730576099349431,0.0042814356910033,-0.0285371505510884,0.1
